CaseId,b52,b73,pid,flow,cost
14,  50, 200, 2, 61.8684, 45.0002
14,  50, 200, 3, 24.2968, 31.8548
14,  50, 200, 4, 27.3252, 29.5054
14,  50, 200, 5, 23.0931, 46.5053
14,  50, 200, 6, 49.5307, 44.0001
14,  50, 200, 7, 61.3291, 36.8548
14,  50, 200, 8, 25.7005, 29.8548
14,  50, 200, 9, 27.4943, 28.5054
15,  50, 250, 1, 63.4078, 44.8548
15,  50, 250, 2, 61.8684, 45.0002
15,  50, 250, 3, 24.2968, 31.8548
15,  50, 250, 4, 27.3252, 29.5054
15,  50, 250, 5, 23.0931, 46.5053
15,  50, 250, 6, 49.5307, 44.0001
15,  50, 250, 7, 61.3291, 36.8548
15,  50, 250, 8, 25.7005, 29.8548
15,  50, 250, 9, 27.4943, 28.5054
16,  50, 300, 1, 63.4078, 44.8548
16,  50, 300, 2, 61.8684, 45.0002
16,  50, 300, 3, 24.2968, 31.8548
16,  50, 300, 4, 27.3252, 29.5054
16,  50, 300, 5, 23.0931, 46.5053
16,  50, 300, 6, 49.5307, 44.0001
16,  50, 300, 7, 61.3291, 36.8548
16,  50, 300, 8, 25.7005, 29.8548
16,  50, 300, 9, 27.4943, 28.5054
17,  50, 350, 1, 63.4078, 44.8548
17,  50, 350, 2, 61.8684, 45.0002
17,  50, 350, 3, 24.2968, 31.8548
17,  50, 350, 4, 27.3252, 29.5054
17,  50, 350, 5, 23.0931, 46.5053
17,  50, 350, 6, 49.5307, 44.0001
17,  50, 350, 7, 61.3291, 36.8548
17,  50, 350, 8, 25.7005, 29.8548
17,  50, 350, 9, 27.4943, 28.5054
18,  50, 400, 1, 63.4078, 44.8548
18,  50, 400, 2, 61.8684, 45.0002
18,  50, 400, 3, 24.2968, 31.8548
18,  50, 400, 4, 27.3252, 29.5054
18,  50, 400, 5, 23.0931, 46.5053
18,  50, 400, 6, 49.5307, 44.0001
18,  50, 400, 7, 61.3291, 36.8548
18,  50, 400, 8, 25.7005, 29.8548
18,  50, 400, 9, 27.4943, 28.5054
19, 100,   0, 1, 74.9927, 45.0709
19, 100,   0, 2, 73.6314, 45.0001
19, 100,   0, 3, 46.4883, 32.0709
19, 100,   0, 4,  0.0000, 29.5651
19, 100,   0, 5, 29.6107, 46.5651
19, 100,   0, 6, 63.5250, 44.0001
19, 100,   0, 7, 77.9331, 37.0709
19, 100,   0, 8, 53.5053, 30.0709
19, 100,   0, 9,  0.0000, 28.5651
20, 100,  50, 1, 61.8190, 44.8178
20, 100,  50, 2, 60.2709, 45.0001
20, 100,  50, 3, 21.2535, 31.8178
20, 100,  50, 4, 23.8867, 29.4818
20, 100,  50, 5, 22.7949, 46.4817
20, 100,  50, 6, 48.8790, 44.0001
20, 100,  50, 7, 60.5660, 36.8178
20, 100,  50, 8, 24.4234, 29.8178
20, 100,  50, 9, 26.1107, 28.4818
21, 100, 100, 1, 71.7571, 45.2127
21, 100, 100, 2, 70.5341, 45.0005
21, 100, 100, 3, 40.2905, 32.2127
21, 100, 100, 4, 45.6026, 29.7357
21, 100, 100, 5, 28.8919, 46.7352
21, 100, 100, 6, 62.2177, 44.0005
21, 100, 100, 7, 76.1611, 37.2127
21, 100, 100, 8, 50.5240, 30.2127
21, 100, 100, 9, 54.3964, 28.7357
22, 100, 150, 1, 75.3474, 45.2913
22, 100, 150, 2, 74.2604, 45.0007
22, 100, 150, 3, 47.1678, 32.2913
22, 100, 150, 4, 53.4618, 29.7861
22, 100, 150, 5, 29.4546, 46.7855
22, 100, 150, 6, 63.4802, 44.0006
22, 100, 150, 7, 77.5300, 37.2913
22, 100, 150, 8, 52.8317, 30.2913
22, 100, 150, 9, 56.9614, 28.7860
23, 100, 200, 1, 75.3474, 45.2913
23, 100, 200, 2, 74.2604, 45.0007
23, 100, 200, 3, 47.1678, 32.2913
23, 100, 200, 4, 53.4618, 29.7861
23, 100, 200, 5, 29.4546, 46.7855
23, 100, 200, 6, 63.4802, 44.0006
23, 100, 200, 7, 77.5300, 37.2913
23, 100, 200, 8, 52.8317, 30.2913
23, 100, 200, 9, 56.9614, 28.7860
24, 100, 250, 1, 75.3474, 45.2913
24, 100, 250, 2, 74.2604, 45.0007
24, 100, 250, 3, 47.1678, 32.2913
24, 100, 250, 4, 53.4618, 29.7861
24, 100, 250, 5, 29.4546, 46.7855
24, 100, 250, 6, 63.4802, 44.0006
24, 100, 250, 7, 77.5300, 37.2913
24, 100, 250, 8, 52.8317, 30.2913
24, 100, 250, 9, 56.9614, 28.7860
25, 100, 300, 1, 75.3474, 45.2913
25, 100, 300, 2, 74.2604, 45.0007
25, 100, 300, 3, 47.1678, 32.2913
25, 100, 300, 4, 53.4618, 29.7861
25, 100, 300, 5, 29.4546, 46.7855
25, 100, 300, 6, 63.4802, 44.0006
25, 100, 300, 7, 77.5300, 37.2913
25, 100, 300, 8, 52.8317, 30.2913
25, 100, 300, 9, 56.9614, 28.7860
26, 100, 350, 1, 75.3474, 45.2913
26, 100, 350, 2, 74.2604, 45.0007
26, 100, 350, 3, 47.1678, 32.2913
26, 100, 350, 4, 53.4618, 29.7861
26, 100, 350, 5, 29.4546, 46.7855
26, 100, 350, 6, 63.4802, 44.0006
26, 100, 350, 7, 77.5300, 37.2913
26, 100, 350, 8, 52.8317, 30.2913
26, 100, 350, 9, 56.9614, 28.7860
27, 100, 400, 1, 75.3474, 45.2913
27, 100, 400, 2, 74.2604, 45.0007
27, 100, 400, 3, 47.1678, 32.2913
27, 100, 400, 4, 53.4618, 29.7861
27, 100, 400, 5, 29.4546, 46.7855
27, 100, 400, 6, 63.4802, 44.0006
27, 100, 400, 7, 77.5300, 37.2913
27, 100, 400, 8, 52.8317, 30.2913
27, 100, 400, 9, 56.9614, 28.7860
28, 150,   0, 1, 85.7596, 45.3980
28, 150,   0, 2, 85.0161, 45.0002
28, 150,   0, 3, 67.1128, 32.3980
28, 150,   0, 4,  0.0000, 29.7358
28, 150,   0, 5, 36.6745, 46.7357
28, 150,   0, 6, 78.8494, 44.0002
28, 150,   0, 7, 95.4067, 37.3980
28, 150,   0, 8, 82.8896, 30.3980
28, 150,   0, 9,  0.0000, 28.7358
29, 150,  50, 1, 61.8190, 44.8178
29, 150,  50, 2, 60.2709, 45.0001
29, 150,  50, 3, 21.2535, 31.8178
29, 150,  50, 4, 23.8867, 29.4818
29, 150,  50, 5, 22.7949, 46.4817
29, 150,  50, 6, 48.8790, 44.0001
29, 150,  50, 7, 60.5660, 36.8178
29, 150,  50, 8, 24.4234, 29.8178
29, 150,  50, 9, 26.1107, 28.4818
30, 150, 100, 1, 71.7557, 45.2127
30, 150, 100, 2, 70.5327, 45.0005
30, 150, 100, 3, 40.2876, 32.2127
30, 150, 100, 4, 45.5995, 29.7357
30, 150, 100, 5, 28.8925, 46.7352
30, 150, 100, 6, 62.2192, 44.0005
30, 150, 100, 7, 76.1626, 37.2127
30, 150, 100, 8, 50.5266, 30.2127
30, 150, 100, 9, 54.3993, 28.7357
31, 150, 150, 1, 80.6010, 45.6056
31, 150, 150, 2, 80.0704, 45.0012
31, 150, 150, 3, 57.2311, 32.6056
31, 150, 150, 4, 65.2294, 29.9894
31, 150, 150, 5, 35.5016, 46.9883
31, 150, 150, 6, 76.8808, 44.0017
31, 150, 150, 7, 92.6325, 37.6056
31, 150, 150, 8, 78.1934, 30.6056
31, 150, 150, 9, 84.7723, 28.9900
32, 150, 200, 1, 86.5629, 45.7304
32, 150, 200, 2, 86.4451, 45.0019
32, 150, 200, 3, 68.6515, 32.7304
32, 150, 200, 4, 78.4184, 30.0701
32, 150, 200, 5, 36.3127, 47.0683
32, 150, 200, 6, 78.7561, 44.0020
32, 150, 200, 7, 94.4873, 37.7304
32, 150, 200, 8, 81.3494, 30.7304
32, 150, 200, 9, 88.3906, 29.0702
33, 150, 250, 1, 86.5629, 45.7304
33, 150, 250, 2, 86.4451, 45.0019
33, 150, 250, 3, 68.6515, 32.7304
33, 150, 250, 4, 78.4184, 30.0701
33, 150, 250, 5, 36.3127, 47.0683
33, 150, 250, 6, 78.7561, 44.0020
33, 150, 250, 7, 94.4873, 37.7304
33, 150, 250, 8, 81.3494, 30.7304
33, 150, 250, 9, 88.3906, 29.0702
34, 150, 300, 1, 86.5629, 45.7304
34, 150, 300, 2, 86.4451, 45.0019
34, 150, 300, 3, 68.6515, 32.7304
34, 150, 300, 4, 78.4184, 30.0701
34, 150, 300, 5, 36.3127, 47.0683
34, 150, 300, 6, 78.7561, 44.0020
34, 150, 300, 7, 94.4873, 37.7304
34, 150, 300, 8, 81.3494, 30.7304
34, 150, 300, 9, 88.3906, 29.0702
35, 150, 350, 1, 86.5629, 45.7304
35, 150, 350, 2, 86.4451, 45.0019
35, 150, 350, 3, 68.6515, 32.7304
35, 150, 350, 4, 78.4184, 30.0701
35, 150, 350, 5, 36.3127, 47.0683
35, 150, 350, 6, 78.7561, 44.0020
35, 150, 350, 7, 94.4873, 37.7304
35, 150, 350, 8, 81.3494, 30.7304
35, 150, 350, 9, 88.3906, 29.0702
36, 150, 400, 1, 86.5629, 45.7304
36, 150, 400, 2, 86.4451, 45.0019
36, 150, 400, 3, 68.6515, 32.7304
36, 150, 400, 4, 78.4184, 30.0701
36, 150, 400, 5, 36.3127, 47.0683
36, 150, 400, 6, 78.7561, 44.0020
36, 150, 400, 7, 94.4873, 37.7304
36, 150, 400, 8, 81.3494, 30.7304
36, 150, 400, 9, 88.3906, 29.0702
37, 200,   0, 1, 95.6244, 45.7265
37, 200,   0, 2, 95.8370, 45.0004
37, 200,   0, 3, 86.0092, 32.7265
37, 200,   0, 4,  0.0000, 29.9078
37, 200,   0, 5, 44.3347, 46.9076
37, 200,   0, 6, 95.5583, 44.0004
37, 200,   0, 7,113.8233, 37.7265
37, 200,   0, 8,113.9885, 30.7265
37, 200,   0, 9,  0.0000, 28.9078
38, 200,  50, 1, 61.8190, 44.8178
38, 200,  50, 2, 60.2709, 45.0001
38, 200,  50, 3, 21.2535, 31.8178
38, 200,  50, 4, 23.8867, 29.4818
38, 200,  50, 5, 22.7949, 46.4817
38, 200,  50, 6, 48.8790, 44.0001
38, 200,  50, 7, 60.5660, 36.8178
38, 200,  50, 8, 24.4234, 29.8178
38, 200,  50, 9, 26.1107, 28.4818
39, 200, 100, 1, 71.7557, 45.2127
39, 200, 100, 2, 70.5327, 45.0005
39, 200, 100, 3, 40.2876, 32.2127
39, 200, 100, 4, 45.5995, 29.7357
39, 200, 100, 5, 28.8925, 46.7352
39, 200, 100, 6, 62.2192, 44.0005
39, 200, 100, 7, 76.1626, 37.2127
39, 200, 100, 8, 50.5266, 30.2127
39, 200, 100, 9, 54.3993, 28.7357
40, 200, 150, 1, 80.6010, 45.6056
40, 200, 150, 2, 80.0704, 45.0012
40, 200, 150, 3, 57.2311, 32.6056
40, 200, 150, 4, 65.2294, 29.9894
40, 200, 150, 5, 35.5016, 46.9883
40, 200, 150, 6, 76.8808, 44.0017
40, 200, 150, 7, 92.6325, 37.6056
40, 200, 150, 8, 78.1934, 30.6056
40, 200, 150, 9, 84.7723, 28.9900
41, 200, 200, 1, 88.4192, 45.9966
41, 200, 200, 2, 88.8933, 45.0023
41, 200, 200, 3, 72.2072, 32.9966
41, 200, 200, 4, 82.8656, 30.2430
41, 200, 200, 5, 42.6091, 47.2409
41, 200, 200, 6, 92.8605, 44.0048
41, 200, 200, 7,109.9046, 37.9966
41, 200, 200, 8,107.3139, 30.9966
41, 200, 200, 9,117.1330, 29.2456
42, 200, 250, 1, 97.0394, 46.1723
42, 200, 250, 2, 98.3781, 45.0041
42, 200, 250, 3, 88.7199, 33.1723
42, 200, 250, 4,102.1267, 30.3577
42, 200, 250, 5, 43.6894, 47.3538
42, 200, 250, 6, 95.4400, 44.0056
42, 200, 250, 7,112.2100, 38.1723
42, 200, 250, 8,111.2796, 31.1723
42, 200, 250, 9,121.8393, 29.3592
43, 200, 300, 1, 97.0394, 46.1723
43, 200, 300, 2, 98.3781, 45.0041
43, 200, 300, 3, 88.7199, 33.1723
43, 200, 300, 4,102.1267, 30.3577
43, 200, 300, 5, 43.6894, 47.3538
43, 200, 300, 6, 95.4400, 44.0056
43, 200, 300, 7,112.2100, 38.1723
43, 200, 300, 8,111.2796, 31.1723
43, 200, 300, 9,121.8393, 29.3592
44, 200, 350, 1, 97.0394, 46.1723
44, 200, 350, 2, 98.3781, 45.0041
44, 200, 350, 3, 88.7199, 33.1723
44, 200, 350, 4,102.1267, 30.3577
44, 200, 350, 5, 43.6894, 47.3538
44, 200, 350, 6, 95.4400, 44.0056
44, 200, 350, 7,112.2100, 38.1723
44, 200, 350, 8,111.2796, 31.1723
44, 200, 350, 9,121.8393, 29.3592
45, 200, 400, 1, 97.0394, 46.1723
45, 200, 400, 2, 98.3781, 45.0041
45, 200, 400, 3, 88.7199, 33.1723
45, 200, 400, 4,102.1267, 30.3577
45, 200, 400, 5, 43.6894, 47.3538
45, 200, 400, 6, 95.4400, 44.0056
45, 200, 400, 7,112.2100, 38.1723
45, 200, 400, 8,111.2796, 31.1723
45, 200, 400, 9,121.8393, 29.3592
46, 250,   0, 1,104.6494, 46.0563
46, 250,   0, 2,106.1244, 45.0007
46, 250,   0, 3,103.2967, 33.0563
46, 250,   0, 4,  0.0000, 30.0810
46, 250,   0, 5, 52.5879, 47.0807
46, 250,   0, 6,113.6604, 44.0008
46, 250,   0, 7,133.1175, 38.0563
46, 250,   0, 8,146.7056, 31.0563
46, 250,   0, 9,  0.0000, 29.0811
47, 250,  50, 1, 61.8190, 44.8178
47, 250,  50, 2, 60.2709, 45.0001
47, 250,  50, 3, 21.2535, 31.8178
47, 250,  50, 4, 23.8867, 29.4818
47, 250,  50, 5, 22.7949, 46.4817
47, 250,  50, 6, 48.8790, 44.0001
47, 250,  50, 7, 60.5660, 36.8178
47, 250,  50, 8, 24.4234, 29.8178
47, 250,  50, 9, 26.1107, 28.4818
48, 250, 100, 1, 71.7557, 45.2127
48, 250, 100, 2, 70.5327, 45.0005
48, 250, 100, 3, 40.2876, 32.2127
48, 250, 100, 4, 45.5995, 29.7357
48, 250, 100, 5, 28.8925, 46.7352
48, 250, 100, 6, 62.2192, 44.0005
48, 250, 100, 7, 76.1626, 37.2127
48, 250, 100, 8, 50.5266, 30.2127
48, 250, 100, 9, 54.3993, 28.7357
49, 250, 150, 1, 80.6010, 45.6056
49, 250, 150, 2, 80.0704, 45.0012
49, 250, 150, 3, 57.2311, 32.6056
49, 250, 150, 4, 65.2294, 29.9894
49, 250, 150, 5, 35.5016, 46.9883
49, 250, 150, 6, 76.8808, 44.0017
49, 250, 150, 7, 92.6325, 37.6056
49, 250, 150, 8, 78.1934, 30.6056
49, 250, 150, 9, 84.7723, 28.9900
50, 250, 200, 1, 88.4192, 45.9966
50, 250, 200, 2, 88.8933, 45.0023
50, 250, 200, 3, 72.2072, 32.9966
50, 250, 200, 4, 82.8656, 30.2430
50, 250, 200, 5, 42.6091, 47.2409
50, 250, 200, 6, 92.8605, 44.0048
50, 250, 200, 7,109.9046, 37.9966
50, 250, 200, 8,107.3139, 30.9966
50, 250, 200, 9,117.1330, 29.2456
51, 250, 250, 1, 95.3142, 46.3857
51, 250, 250, 2, 97.0569, 45.0038
51, 250, 250, 3, 85.4150, 33.3857
51, 250, 250, 4, 98.6896, 30.4965
51, 250, 250, 5, 50.1876, 47.4930
51, 250, 250, 6,110.1159, 44.0115
51, 250, 250, 7,127.8753, 38.3857
51, 250, 250, 8,137.7218, 31.3857
51, 250, 250, 9,151.3067, 29.5042
52, 250, 300, 1,106.8334, 46.6168
52, 250, 300, 2,110.0869, 45.0077
52, 250, 300, 3,107.4805, 33.6168
52, 250, 300, 4,124.6725, 30.6491
52, 250, 300, 5, 51.5768, 47.6418
52, 250, 300, 6,113.5411, 44.0133
52, 250, 300, 7,130.6293, 38.6168
52, 250, 300, 8,142.5182, 31.6168
52, 250, 300, 9,157.2085, 29.6547
53, 250, 350, 1,106.8334, 46.6168
53, 250, 350, 2,110.0869, 45.0077
53, 250, 350, 3,107.4805, 33.6168
53, 250, 350, 4,124.6725, 30.6491
53, 250, 350, 5, 51.5768, 47.6418
53, 250, 350, 6,113.5411, 44.0133
53, 250, 350, 7,130.6293, 38.6168
53, 250, 350, 8,142.5182, 31.6168
53, 250, 350, 9,157.2085, 29.6547
54, 250, 400, 1,106.8334, 46.6168
54, 250, 400, 2,110.0869, 45.0077
54, 250, 400, 3,107.4805, 33.6168
54, 250, 400, 4,124.6725, 30.6491
54, 250, 400, 5, 51.5768, 47.6418
54, 250, 400, 6,113.5411, 44.0133
54, 250, 400, 7,130.6293, 38.6168
54, 250, 400, 8,142.5182, 31.6168
54, 250, 400, 9,157.2085, 29.6547
55, 300,   0, 1,112.8381, 46.3873
55, 300,   0, 2,115.8493, 45.0010
55, 300,   0, 3,118.9827, 33.3873
55, 300,   0, 4,  0.0000, 30.2555
55, 300,   0, 5, 61.4475, 47.2551
55, 300,   0, 6,133.2005, 44.0013
55, 300,   0, 7,153.2661, 38.3873
55, 300,   0, 8,181.0147, 31.3873
55, 300,   0, 9,  0.0000, 29.2559
56, 300,  50, 1, 61.8190, 44.8178
56, 300,  50, 2, 60.2709, 45.0001
56, 300,  50, 3, 21.2535, 31.8178
56, 300,  50, 4, 23.8867, 29.4818
56, 300,  50, 5, 22.7949, 46.4817
56, 300,  50, 6, 48.8790, 44.0001
56, 300,  50, 7, 60.5660, 36.8178
56, 300,  50, 8, 24.4234, 29.8178
56, 300,  50, 9, 26.1107, 28.4818
57, 300, 100, 1, 71.7557, 45.2127
57, 300, 100, 2, 70.5327, 45.0005
57, 300, 100, 3, 40.2876, 32.2127
57, 300, 100, 4, 45.5995, 29.7357
57, 300, 100, 5, 28.8925, 46.7352
57, 300, 100, 6, 62.2192, 44.0005
57, 300, 100, 7, 76.1626, 37.2127
57, 300, 100, 8, 50.5266, 30.2127
57, 300, 100, 9, 54.3993, 28.7357
58, 300, 150, 1, 80.6010, 45.6056
58, 300, 150, 2, 80.0704, 45.0012
58, 300, 150, 3, 57.2311, 32.6056
58, 300, 150, 4, 65.2294, 29.9894
58, 300, 150, 5, 35.5016, 46.9883
58, 300, 150, 6, 76.8808, 44.0017
58, 300, 150, 7, 92.6325, 37.6056
58, 300, 150, 8, 78.1934, 30.6056
58, 300, 150, 9, 84.7723, 28.9900
59, 300, 200, 1, 88.4192, 45.9966
59, 300, 200, 2, 88.8933, 45.0023
59, 300, 200, 3, 72.2072, 32.9966
59, 300, 200, 4, 82.8656, 30.2430
59, 300, 200, 5, 42.6091, 47.2409
59, 300, 200, 6, 92.8605, 44.0048
59, 300, 200, 7,109.9046, 37.9966
59, 300, 200, 8,107.3139, 30.9966
59, 300, 200, 9,117.1330, 29.2456
60, 300, 250, 1, 95.3142, 46.3857
60, 300, 250, 2, 97.0569, 45.0038
60, 300, 250, 3, 85.4150, 33.3857
60, 300, 250, 4, 98.6896, 30.4965
60, 300, 250, 5, 50.1876, 47.4930
60, 300, 250, 6,110.1159, 44.0115
60, 300, 250, 7,127.8753, 38.3857
60, 300, 250, 8,137.7218, 31.3857
60, 300, 250, 9,151.3067, 29.5042
61, 300, 300, 1,101.3472, 46.7732
61, 300, 300, 2,104.5772, 45.0058
61, 300, 300, 3, 96.9716, 33.7732
61, 300, 300, 4,112.7945, 30.7502
61, 300, 300, 5, 58.2328, 47.7448
61, 300, 300, 6,128.6443, 44.0243
61, 300, 300, 7,146.5031, 38.7732
61, 300, 300, 8,169.3548, 31.7732
61, 300, 300, 9,187.2075, 29.7687
62, 300, 350, 1,115.9657, 47.0637
62, 300, 350, 2,121.5630, 45.0129
62, 300, 350, 3,124.9740, 34.0637
62, 300, 350, 4,146.0655, 30.9447
62, 300, 350, 5, 59.9813, 47.9323
62, 300, 350, 6,133.0880, 44.0283
62, 300, 350, 7,149.7169, 39.0637
62, 300, 350, 8,175.0276, 32.0637
62, 300, 350, 9,194.4418, 29.9600
