CaseId,b52,b73,pid,flow,cost
 1,   0,   0, 1, 50.3766, 44.3978
 1,   0,   0, 2, 49.6234, 45.0000
 1,   0,   0, 3,  0.0000, 31.3978
 1,   0,   0, 4,  0.0000, 29.2219
 1,   0,   0, 5, 22.9882, 46.2219
 1,   0,   0, 6, 39.4423, 44.0000
 1,   0,   0, 7, 37.5695, 36.3978
 1,   0,   0, 8,  0.0000, 29.3978
 1,   0,   0, 9,  0.0000, 28.2219
 2,   0,  50, 1, 66.6915, 44.6503
 2,   0,  50, 2, 65.7962, 45.0002
 2,   0,  50, 3,  0.0000, 31.6503
 2,   0,  50, 4, 23.8819, 29.4085
 2,   0,  50, 5, 33.2486, 46.4084
 2,   0,  50, 6, 57.1106, 44.0001
 2,   0,  50, 7, 54.2826, 36.6503
 2,   0,  50, 8,  0.0000, 29.6503
 2,   0,  50, 9, 26.0904, 28.4085
 3,   0, 100, 1, 81.5340, 44.9039
 3,   0, 100, 2, 80.7055, 45.0007
 3,   0, 100, 3,  0.0000, 31.9039
 3,   0, 100, 4, 45.6831, 29.5969
 3,   0, 100, 5, 44.3653, 46.5963
 3,   0, 100, 6, 76.3889, 44.0008
 3,   0, 100, 7, 72.2765, 36.9039
 3,   0, 100, 8,  0.0000, 29.9039
 3,   0, 100, 9, 54.3024, 28.5970
 4,   0, 150, 1, 94.8596, 45.1585
 4,   0, 150, 2, 94.2812, 45.0018
 4,   0, 150, 3,  0.0000, 32.1585
 4,   0, 150, 4, 65.3261, 29.7872
 4,   0, 150, 5, 56.3657, 46.7857
 4,   0, 150, 6, 97.3418, 44.0028
 4,   0, 150, 7, 91.5834, 37.1585
 4,   0, 150, 8,  0.0000, 30.1585
 4,   0, 150, 9, 84.6965, 28.7883
 5,   0, 200, 1,106.8190, 45.4133
 5,   0, 200, 2,106.6476, 45.0035
 5,   0, 200, 3,  0.0000, 32.4133
 5,   0, 200, 4, 83.0204, 29.9788
 5,   0, 200, 5, 69.1182, 46.9757
 5,   0, 200, 6,119.7543, 44.0079
 5,   0, 200, 7,111.9788, 37.4133
 5,   0, 200, 8,  0.0000, 30.4133
 5,   0, 200, 9,116.9249, 28.9833
 6,   0, 250, 1,117.4071, 45.6698
 6,   0, 250, 2,117.7750, 45.0060
 6,   0, 250, 3,  0.0000, 32.6698
 6,   0, 250, 4, 98.7476, 30.1729
 6,   0, 250, 5, 82.7463, 47.1677
 6,   0, 250, 6,143.8479, 44.0189
 6,   0, 250, 7,133.6511, 37.6698
 6,   0, 250, 8,  0.0000, 30.6698
 6,   0, 250, 9,151.2769, 29.1859
 7,   0, 300, 1,126.9104, 45.9262
 7,   0, 300, 2,127.9325, 45.0092
 7,   0, 300, 3,  0.0000, 32.9262
 7,   0, 300, 4,112.9208, 30.3681
 7,   0, 300, 5, 96.9843, 47.3600
 7,   0, 300, 6,169.1517, 44.0398
 7,   0, 300, 7,156.1633, 37.9262
 7,   0, 300, 8,  0.0000, 30.9262
 7,   0, 300, 9,187.0394, 29.3987
 8,   0, 350, 1,135.1807, 46.1841
 8,   0, 350, 2,136.9472, 45.0132
 8,   0, 350, 3,  0.0000, 33.1841
 8,   0, 350, 4,125.3127, 30.5654
 8,   0, 350, 5,112.0391, 47.5541
 8,   0, 350, 6,196.0008, 44.0770
 8,   0, 350, 7,179.8365, 38.1841
 8,   0, 350, 8,  0.0000, 31.1841
 8,   0, 350, 9,224.6673, 29.6292
 9,   0, 400, 1,142.3995, 46.4432
 9,   0, 400, 2,144.9840, 45.0178
 9,   0, 400, 3,  0.0000, 33.4432
 9,   0, 400, 4,136.1839, 30.7644
 9,   0, 400, 5,127.8119, 47.7494
 9,   0, 400, 6,224.1653, 44.1389
 9,   0, 400, 7,204.5016, 38.4432
 9,   0, 400, 8,  0.0000, 31.4432
 9,   0, 400, 9,263.8018, 29.8855
10,  50,   0, 1, 67.7149, 44.7568
10,  50,   0, 2, 66.8566, 45.0001
10,  50,   0, 3, 23.9968, 31.7568
10,  50,   0, 4,  0.0000, 29.4120
10,  50,   0, 5, 33.5697, 46.4119
10,  50,   0, 6, 57.6362, 44.0001
10,  50,   0, 7, 54.7172, 36.7568
10,  50,   0, 8, 25.9760, 29.7568
10,  50,   0, 9,  0.0000, 28.4120
11,  50,  50, 1, 66.5979, 44.8411
11,  50,  50, 2, 65.7803, 45.0002
11,  50,  50, 3, 22.4508, 31.8411
11,  50,  50, 4, 23.8016, 29.5039
11,  50,  50, 5, 33.2939, 46.5038
11,  50,  50, 6, 57.2049, 44.0002
11,  50,  50, 7, 54.2766, 36.8411
11,  50,  50, 8, 25.3068, 29.8411
11,  50,  50, 9, 26.1671, 28.5039
12,  50, 100, 1, 67.7319, 44.8614
12,  50, 100, 2, 66.9186, 45.0002
12,  50, 100, 3, 24.0202, 31.8614
12,  50, 100, 4, 25.4703, 29.5168
12,  50, 100, 5, 33.5623, 46.5166
12,  50, 100, 6, 57.6711, 44.0002
12,  50, 100, 7, 54.7053, 36.8614
12,  50, 100, 8, 25.9579, 29.8614
12,  50, 100, 9, 26.8454, 28.5167
13,  50, 150, 1, 67.7319, 44.8614
13,  50, 150, 2, 66.9186, 45.0002
13,  50, 150, 3, 24.0202, 31.8614
13,  50, 150, 4, 25.4703, 29.5168
13,  50, 150, 5, 33.5623, 46.5166
13,  50, 150, 6, 57.6711, 44.0002
13,  50, 150, 7, 54.7053, 36.8614
13,  50, 150, 8, 25.9579, 29.8614
13,  50, 150, 9, 26.8454, 28.5167
14,  50, 200, 1, 67.7319, 44.8614
14,  50, 200, 2, 66.9186, 45.0002
14,  50, 200, 3, 24.0202, 31.8614
14,  50, 200, 4, 25.4703, 29.5168
14,  50, 200, 5, 33.5623, 46.5166
14,  50, 200, 6, 57.6711, 44.0002
14,  50, 200, 7, 54.7053, 36.8614
14,  50, 200, 8, 25.9579, 29.8614
14,  50, 200, 9, 26.8454, 28.5167
15,  50, 250, 1, 67.7319, 44.8614
15,  50, 250, 2, 66.9186, 45.0002
15,  50, 250, 3, 24.0202, 31.8614
15,  50, 250, 4, 25.4703, 29.5168
15,  50, 250, 5, 33.5623, 46.5166
15,  50, 250, 6, 57.6711, 44.0002
15,  50, 250, 7, 54.7053, 36.8614
15,  50, 250, 8, 25.9579, 29.8614
15,  50, 250, 9, 26.8454, 28.5167
16,  50, 300, 1, 67.7319, 44.8614
16,  50, 300, 2, 66.9186, 45.0002
16,  50, 300, 3, 24.0202, 31.8614
16,  50, 300, 4, 25.4703, 29.5168
16,  50, 300, 5, 33.5623, 46.5166
16,  50, 300, 6, 57.6711, 44.0002
16,  50, 300, 7, 54.7053, 36.8614
16,  50, 300, 8, 25.9579, 29.8614
16,  50, 300, 9, 26.8454, 28.5167
