0.3	0.6	0.9	10	30	50
0.3000	0.3000	0.3000	0.1000	0.3000	0.50
0.2308	0.2308	0.2308	0.0909	0.2308	0.33
0.1875	0.1875	0.1875	0.0833	0.1875	0.49
0.1932	0.1932	0.1932	0.0769	0.1932	0.33
0.1619	0.1619	0.1619	0.0714	0.1619	0.49
0.0580	0.1159	0.1739	0.0667	0.1932	0.33
0.0198	0.0726	0.2029	0.0636	0.2564	0.49
0.0164	0.0472	0.1518	0.0751	0.2041	0.33
0.0061	0.0231	0.1611	0.0812	0.2564	0.49
0.0048	0.0182	0.1249	0.0751	0.2041	0.33
0.0062	0.0111	0.1284	0.0812	0.2564	0.49
0.0014	0.0048	0.1024	0.0751	0.2041	0.33
0.0019	0.0066	0.1027	0.0812	0.2564	0.49
0.0014	0.0039	0.0838	0.0751	0.2041	0.33
0.0019	0.0039	0.0615	0.0812	0.2564	0.49
0.0004	0.0024	0.0634	0.0751	0.2041	0.33
	0.0018	0.0654	0.0812	0.2564	0.49
	0.0018	0.0630	0.0751	0.2041	0.33
	0.0012	0.0395	0.0812	0.2564	0.49
	0.0008	0.0373	0.0751	0.2041	0.33
		0.0436	0.0812	0.2564	0.49
		0.0376	0.0751	0.2041	0.33
		0.0263	0.0812	0.2564	0.49
		0.0306	0.0751	0.2041	0.33
		0.0283	0.0812	0.2564	0.49
		0.0262	0.0751	0.2041	0.33
		0.0171	0.0812	0.2564	0.49
		0.0165	0.0751	0.2041	0.33
		0.0187	0.0812	0.2564	0.49
		0.0165	0.0751	0.2041	0.33
		0.0113	0.0812	0.2564	0.49
		0.0125	0.0751	0.2041	0.33
		0.0122	0.0812	0.2564	0.49
		0.0111	0.0751	0.2041	0.33
		0.0099	0.0812	0.2564	0.49
		0.0090	0.0751	0.2041	0.33
		0.0060	0.0812	0.2564	0.49
		0.0054	0.0751	0.2041	0.33
		0.0065	0.0812	0.2564	0.49
		0.0058	0.0751	0.2041	0.33
		0.0053	0.0812	0.2564	0.49
		0.0047	0.0751	0.2041	0.33
		0.0032	0.0812	0.2564	0.49
		0.0030	0.0751	0.2041	0.33
		0.0035	0.0812	0.2564	0.49
		0.0031	0.0751	0.2041	0.33
		0.0028	0.0812	0.2564	0.49
		0.0025	0.0751	0.2041	0.33
		0.0017	0.0812	0.2564	0.49
		0.0016	0.0751	0.2041	0.33
		0.0018	0.0812	0.2564	0.49
		0.0017	0.0751	0.2041	0.33
		0.0015	0.0812	0.2564	0.49
		0.0013	0.0751	0.2041	0.33
		0.0009	0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
			0.0812	0.2564	0.49
			0.0751	0.2041	0.33
